"UniqueKey","DateSurvey","UniqueCode","Consent","PreviousDC","PreviousBassCoastDC","Female","Male","Nonbinary","Trans","Gender_Unknown","Belief_MDMA_a","Belief_MDA_a","Belief_Ketamine_a","Belief_Cocaine_a","Belief_Methamphetamine_a","Belief_LSD_a","Belief_Unknown_a","Belief_Other_a","Belief_Other_detail_a","Type_Powder_s1","Type_Crystal_s1","Type_Blotter_s1","Type_PressTab_s1","Type_Liquid_s1","Type_Gummy_s1","Type_Other_s1","Type_Other_detail_s1","Type_Colour_s1","Testing_Self","Testing_Friends","Testing_Friends_num","Testing_Clients","Testing_Other","Testing_Other_detail","Obtained","Benzos_results","Benzo_Comments","LSD_result","Colorimetric_Comments","Ehrlich_result","FTS_results","FTS_Comments","FTIR_completion","FTIR_initials","FTIR_result_a1","FTIR_result_a2","FTIR_result_a3","FTIR_result_a4","FTIR_result_7_detail1","FTIR_result_7_detail2","FTIR_result_7_detail3","FTIR_result_7_detail4","FTIR_Comment","Surprised1","Surprised_detail","Satisfaction","Improvement","Intention_Nochange_a","Intention_More_a","Intention_Less_a","Intention_Dispose_a","Intention_Friend_a","Intention_Change_a","Intention_Naloxone_a","Intention_Other_a","Intention_Other_detail_a","Discarded","Initials","Final_comments","FTIR_result_MDMA_a1","FTIR_result_MDA_a1","FTIR_result_Ketamine_a1","FTIR_result_Cocaine_a1","FTIR_result_Methamphetamine_a1","FTIR_result_LSD_a1","FTIR_result_Unknown_a1","FTIR_result_Other_a1","match","Gender","count_substance","combinations","Intention_count","Intention_group","Behaviour_change","Type_count","Type","FTIR_result_MDMA_2","FTIR_result_MDA_2","FTIR_result_Ketamine_2","FTIR_result_Methamphetamine_2","FTIR_result_LSD_2","FTIR_result_Unknown_2","FTIR_result_Other_2","FTIR_result_Cocaine_2","match2","combo_name","cluster","match3","cluster1","mcluster","Intention","count_blf_substance","combinations_belief","combo_name_belief"
509,2019-07-13,3769,0,"1",NA,1,0,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,10,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ST",4,NA,NA,NA,NA,NA,NA,NA,"-","0","reacting weird to cocaine lately",0,"-",0,1,1,1,1,1,1,1,NA,"1","DL","-",1,1,1,0,1,1,1,1,"Match","Male",1,"1, 1, 1, 0, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,1,1,1,1,1,1,0,"Match","Cocaine",3,"Match",3,9,"No Change",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
71,2019-07-13,3770,0,"1",NA,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",NA,NA,NA,NA,NA,NA,NA,NA,"ek: results not recorded for FTIR on paper form","1","-",0,"-",0,1,1,1,0,1,1,1,NA,"1","-","-",1,1,1,1,1,1,1,1,"No Match","Female",0,"1, 1, 1, 1, 1, 1, 1, 1",2,"Harm Reduction","No Change",1,"Crystal",1,1,1,1,1,1,1,1,"No Match",NA,7,"No Match",8,2,"Friend",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
199,2019-07-13,3771,0,"0",0,1,0,1,1,1,1,1,1,1,1,0,1,1,NA,1,1,0,1,1,1,1,NA,"rainbow",0,1,NA,1,1,NA,"Offsite",3,"-",0,"-",3,3,"-",1,"ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",1,1,1,1,1,0,1,1,"Match","Male",0,"1, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Blotter",1,1,1,1,1,1,1,1,"Match","LSD",3,"No Match",3,3,"No Change",1,"1, 1, 1, 1, 1, 0, 1, 1","LSD"
70,2019-07-13,3772,0,"1",NA,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"JE",1,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",0,1,1,1,1,1,1,1,"Match","Female",1,"0, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA",8,"Match",4,4,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
69,NA,3773,0,"1",NA,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,"brown",0,1,NA,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"JE",1,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","ek: date and type of substance was not recorded",0,1,1,1,1,1,1,1,"Match","Female",1,"0, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",0,"Other",0,1,1,1,1,1,1,1,"Match","MDMA",8,"Match",4,2,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
510,2019-07-13,3774,0,"0",1,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,0,1,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ST",1,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","DL","-",0,1,1,1,1,1,1,1,"Match","Male",1,"0, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Crystal",0,1,1,1,1,1,1,1,"Match","MDMA",3,"Match",3,5,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
511,2019-07-13,3776,0,"0",1,1,0,1,1,1,1,1,1,1,1,0,1,1,NA,1,1,1,1,1,1,1,"Paper","white",0,1,NA,1,1,NA,"Onsite",3,"-",0,"-",3,1,"-",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","DL","-",1,1,1,1,1,0,1,1,"Match","Male",0,"1, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",0,"Other",1,1,1,1,1,1,1,1,"Match","LSD",3,"No Match",3,5,"No Change",1,"1, 1, 1, 1, 1, 0, 1, 1","LSD"
68,2019-07-13,3777,0,"1",NA,0,1,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",7,4,NA,NA,"phenacetin",NA,NA,NA,"-","0","more cut than cocaine",0,"-",1,1,0,1,1,1,1,1,NA,"1","-","-",1,1,1,0,1,1,1,0,"No Match","Female",2,"1, 1, 1, 0, 1, 1, 1, 0",1,"Harm Reduction","Behaviour Change",1,"Powder",1,1,1,1,1,1,0,1,"No Match","Cocaine, Unknown",2,"No Match",2,2,"Take Less",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
198,2019-07-13,3779,0,"0",1,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,5,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ML",3,8,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",1,1,0,1,1,1,1,1,NA,"1","CJ","-",1,1,0,1,1,1,0,1,"No Match","Female",2,"1, 1, 0, 1, 1, 1, 0, 1",1,"Harm Reduction","Behaviour Change",1,"Powder",1,1,0,1,1,1,1,1,"Match","Ketamine, Other",7,"Match",8,6,"Take Less",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
38,2019-07-13,3786,0,"1",NA,1,0,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ML",4,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",1,1,1,0,1,1,1,1,"Match","Male",1,"1, 1, 1, 0, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,1,1,1,1,1,1,0,"Match","Cocaine",3,"Match",3,5,"No Change",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
51,2019-07-13,3787,0,"0",1,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"brown",0,0,15,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",1,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",0,1,1,1,1,1,1,1,"Match","Male",1,"0, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA",3,"Match",3,3,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
53,2019-07-13,3789,0,"0",1,1,0,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,15,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",4,7,NA,NA,NA,"unidentified",NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",1,1,1,0,1,1,1,0,"No Match","Male",2,"1, 1, 1, 0, 1, 1, 1, 0",1,"No Change","No Change",1,"Powder",1,1,1,1,1,1,1,0,"Match","Cocaine, Unknown",3,"Match",3,3,"No Change",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
36,2019-07-13,3790,0,"0",0,1,0,1,1,1,1,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,0,6,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ML",3,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,0,1,1,1,NA,"1","CJ","-",1,1,0,1,1,1,1,1,"Match","Male",1,"1, 1, 0, 1, 1, 1, 1, 1",2,"Harm Reduction","No Change",1,"Crystal",1,1,0,1,1,1,1,1,"Match","Ketamine",6,"Match",1,7,"Friend",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
43,2019-07-13,3791,0,"0",1,0,1,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ML",4,1,NA,NA,NA,"insoitol",NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",0,1,1,0,1,1,1,1,"No Match","Female",2,"0, 1, 1, 0, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,1,1,1,1,1,1,0,"Match","MDMA, Cocaine",8,"Match",4,8,"No Change",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
498,2019-07-13,3792,0,"1",1,1,0,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,4,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ST",3,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","DL","-",1,1,0,1,1,1,1,1,"Match","Male",1,"1, 1, 0, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,1,0,1,1,1,1,1,"Match","Ketamine",3,"Match",3,3,"No Change",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
49,2019-07-13,3793,0,"0",0,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,2,1,1,NA,"Offsite",3,"-",3,"-",3,3,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,"No Match","Female",0,"1, 1, 1, 1, 1, 1, 1, 1",0,"No Change","Behaviour Change",1,"Powder",1,1,1,1,1,1,1,1,"No Match",NA,7,"No Match",8,2,"Unknown",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
50,2019-07-13,3793,0,"0",0,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,2,1,1,NA,"Offsite",3,"-",3,"-",3,NA,"ek",0,"JE",3,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",1,1,0,1,1,1,1,1,"Match","Female",1,"1, 1, 0, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,1,0,1,1,1,1,1,"Match","Ketamine",8,"Match",4,8,"No Change",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
48,2019-07-13,3794,0,"0",0,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,0,"pill","grey/white",0,0,2,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",1,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",0,1,1,1,1,1,1,1,"Match","Female",1,"0, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",2,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA",8,"Match",4,8,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
40,2019-07-13,3795,0,"1",NA,1,0,1,1,1,1,0,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ML",2,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",1,0,1,1,1,1,1,1,"Match","Male",1,"1, 0, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Crystal",1,0,1,1,1,1,1,1,"Match","MDA",3,"Match",3,5,"No Change",0,"1, 1, 1, 1, 1, 1, 1, 1",NA
39,2019-07-13,3796,0,"1",NA,1,0,1,1,1,1,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ML",3,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",1,1,0,1,1,1,1,1,"Match","Male",1,"1, 1, 0, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Crystal",1,1,0,1,1,1,1,1,"Match","Ketamine",3,"Match",3,3,"No Change",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
