UniqueKey,Date_Test,TesterInitial,Bck_Consent,Bck_UsedService,Bck_Test_Self,Bck_Test_Friends,Bck_Test_Others,Bck_Test_Unk,Bck_Gender,Bck_SubstanceType,Bck_Description,Bck_Sub_Onsite,Bck_Sub_Offsite,Bck_Sub_GroundFind,Bck_Sub_Medical,Bck_Sub_Security,Bck_Sub_Online,Bck_Belief,Bck_Belief_Other,Raman_Consent,Raman_Result_1,Raman_Result_1_clean,Raman_Result_1_Other,Raman_Result_1_Other_clean,Raman_Result_2,Raman_Result_2_clean,Raman_Result_2_Other,Raman_Result_2_Other_clean,Raman_Result_3,Raman_Result_3_clean,Raman_Result_3_Other,Raman_Result_3_Other_clean,Raman_Result_4,Raman_Result_4_clean,Raman_Result_4_Other,Raman_Result_4_Other_clean,MachineCode,Howmany,Fentanyl_Conset,FTIR,Raman,Comments,Positive,Negative,UniqueCode,Color_Consent,Color_Result,Color_Result_2C,Color_Result_Other,Discard_YesMass_Before,Wereyousurprisedbythisresult,Areyousatisfiedwiththedrugcheckingprocess,Basedontheresultwhatwillyoudowithyourdrug,Mass_Comments,Data Entry
1,2017-08-08,NONE,0,2,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,0,,No,1,MDMA,,,,,,,,,,,,,,,,,Yes,Yes,No,,No,Yes,3207,No,,,,,1,0,0,,Carmen
2,2017-08-08,SB,0,2,Yes,No,No,No,0,0,Black top with tellow K on it. A shardy white powder,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,8,NO MATCH,UKNOWN,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3007,No,,,,1,1,0,0,,Carmen
3,2017-08-07,AM,0,2,Yes,No,No,No,1,0,,No,Yes,No,No,No,No,3,,Yes,COCAINE,COCAINE,,,NORCOCAINE,OTHER,,NOVOCAINE,TRENBOLONE,OTHER,,TRENBOLONE,,,,,2,,Yes,Yes,No,,No,Yes,3492,No,,,,1,1,0,0,Unsure about results. Drug checking process is too slow.,Carmen
4,2017-08-07,TB,0,0,Yes,No,No,No,0,1,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,No,3690,No,,,,1,0,0,5,,Carmen
5,,,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,2,,Yes,6,KETAMINE,,,08-Jul,query,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3529,No,,,,1,0,0,0,,Carmen
6,2017-08-07,SB,0,3,Yes,No,No,No,0,,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,7,OTHER,UNIDENTIFIED CARBOHYDRATE,CARBOHYDRATES,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3681,No,,,,1,1,0,0,,Carmen
7,2017-08-07,TB,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,Yes,No,3530,No,,,,1,1,0,0,,Carmen
8,2017-08-07,FB,0,0,Yes,Yes,No,No,0,0,,Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,No cuts detected,No,Yes,3353,No,,,,1,1,0,0,,Carmen
9,2017-08-07,FB,0,2,Yes,No,No,No,0,0,,No,No,Yes,No,No,No,11,,Yes,3,COCAINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,No cuts detected,No,Yes,3361,No,,,,1,0,0,0,,Carmen
10,2017-08-07,FB,0,0,Yes,Yes,No,No,0,0,,Yes,No,No,No,No,No,,,Yes,6,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,Weak cut unknown,No,Yes,3357,No,,,,1,1,0,7,Other: be careful,Carmen
11,2017-08-07,CF,0,0,Yes,Yes,No,No,0,3,,Yes,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3355,Yes,0,,,1,0,0,0,,Carmen
12,2017-08-07,JE,0,0,Yes,Yes,No,No,0,0,White,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,No cuts (but just donated),No,Yes,3383,No,,,,1,1,0,0,,Carmen
