Sample,count
['MDMA'] ['LSD'] ,88
['MDMA'] ['Cocaine'] ,74
['MDMA'] ['Ketamine'] ,68
['Cocaine'] ['Ketamine'] ,43
['MDMA'] ['Ketamine'] ['Cocaine'],21
['MDMA'] ['Other'] ,10
['MDMA'] ['MDA'] ,10
['MDMA'] ['Cocaine'] ['LSD'],10
['MDMA'] ['Ketamine'] ['Other'],8
['MDMA'] ['LSD'] ['Cocaine'],7
['MDMA'] ['Ketamine'] ['LSD'],6
['MDMA'] ['Cocaine'] ['Ketamine'],6
['Ketamine'] ['LSD'] ,6
['Ketamine'] ['Cocaine'] ['MDMA'],6
['Other'] ['MDMA'] ['Ketamine'],5
['MDA'] ['MDMA'] ,5
['Ketamine'] ['Unknown'] ,5
['Cocaine'] ['MDMA'] ['Ketamine'],5
['Ketamine'] ['LSD'] ['MDMA'],5
['MDMA'] ['Unknown'] ,4
['MDMA'] ['MDA'] ['Ketamine'],4
['Ketamine'] ['MDMA'] ['LSD'],4
['Cocaine'] ['LSD'] ,4
['Cocaine'] ['Ketamine'] ['MDMA'],4
['Ketamine'] ['MDMA'] ['Cocaine'],4
"['MDMA'],['LSD'] ['Cocaine'], ['Ketamine'],",3
['MDMA'] ['MDA'],3
['MDA'] ['Ketamine'] ,3
['LSD'] ['Ketamine'],3
['Ketamine'] ['Other'] ,3
['Ketamine'] ['MDMA'] ['Unknown'],3
['Ketamine'] ['MDA'] ,3
['Cocaine'] ['MDMA'] ['Other'],3
['Cocaine'] ['MDMA'] ['LSD'],3
['Ketamine'] ['LSD'],3
['Unknown'] ['LSD'],2
['Unknown'] ['MDMA'] ,2
['Unknown'] ['MDA'] ,2
['Unknown'] ['LSD'] ,2
['Unknown'] ['Cocaine'] ,2
['Other'] ['MDMA'] ,2
['Other'] ['Cocaine'] ['MDMA'],2
['MDMA'] ['LSD'],2
['MDMA']  ['Ketamine'],2
['MDMA'] ['Other'] ['LSD'],2
['MDMA'] ['MDA'] ['Cocaine'],2
['MDMA'] ['LSD'] ['Other'],2
['MDMA'] ['Ketamine'] ['MDA'],2
['MDA'] ['Unknown'] ,2
['MDA'] ['Other'] ,2
['MDA'] ['MDMA'] ['Unknown'],2
['MDA'] ['MDMA'] ['MDMA'],2
['MDA'] ['MDMA'] ['Ketamine'],2
['MDA'] ['Cocaine'] ,2
['Ketamine'] ['MDA'] ['MDMA'],2
['Cocaine'] ['Unknown'] ,2
['Unknown'] ['MDMA'],2
['Other'] ['MDMA'],2
['MDMA'] ['Other'] ['MDA'] ['Ketamine'],2
['MDA'] ['MDMA'],2
['Unknown'] ['Ketamine'] ['MDMA'],2
