,PreviousDC,Gender,belief,testing_for,obtained,All_FTIR_Results,FTIR_Other_detail,Primary_FTIR_Results,surprised_19,Intentions,Discard,Match_Primary,BehChange_NoChange,HarmRed_NoHarmRed,FTIR_prim,FTIR_secon,FTIR_teri,FTIR_quar,Target
1,yes,Male,['MDMA'],Other,Onsite,"['MDMA', 'Other']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Unknown,none,none,
2,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
3,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
4,no,Male,['MDA'],Both,Offsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
5,no,Male,['Unknown'],Self,Ground,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,none,none,none,
6,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
7,no,Female,['Cocaine'],Self,Offsite,['Other'],,['Other'],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,Unknown,none,none,none,
8,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
9,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
10,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
11,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
12,yes,Male,['Unknown'],Both,Ground,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Cocaine,none,none,none,
13,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
